Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
2021-08-15,20:00 (01:00),Matchweek 1,Sun,Home,W,4,2,Real Sociedad,23,18,4,0,0,1,0,7,5,1,0,0,1,0,Match Report
2021-08-21,22:00 (03:00),Matchweek 2,Sat,Away,D,1,1,Athletic Club,16,9,0,4,1,1,1,2,2,0,0,0,0,0,Match Report
2021-08-29,17:00 (22:00),Matchweek 3,Sun,Home,W,2,1,Getafe,13,13,0,0,0,0,0,4,4,0,0,0,0,0,Match Report
2021-09-20,21:00 (02:00),Matchweek 5,Mon,Home,D,1,1,Granada,27,15,6,0,2,2,2,2,2,0,0,0,0,0,Match Report
2021-09-23,22:00 (03:00),Matchweek 6,Thu,Away,D,0,0,Cádiz,13,8,3,1,0,1,0,0,0,0,0,0,0,0,Match Report
2021-09-26,16:15 (21:15),Matchweek 7,Sun,Home,W,3,0,Levante,33,25,3,4,0,1,0,4,2,0,1,0,1,0,Match Report
2021-10-02,21:00 (02:00),Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,16,9,2,1,0,3,1,0,0,0,0,0,0,0,Match Report
2021-10-17,21:00 (02:00),Matchweek 9,Sun,Home,W,3,1,Valencia,18,16,0,0,0,2,0,6,5,0,0,0,1,0,Match Report
2021-10-24,16:15 (21:15),Matchweek 10,Sun,Home,L,1,2,Real Madrid,22,19,2,0,1,0,0,2,2,0,0,0,0,0,Match Report
2021-10-27,19:00 (00:00),Matchweek 11,Wed,Away,L,0,1,Rayo Vallecano,28,23,0,3,0,1,1,0,0,0,0,0,0,0,Match Report
2021-10-30,21:00 (02:00),Matchweek 12,Sat,Home,D,1,1,Alavés,26,21,1,2,0,2,0,2,2,0,0,0,0,0,Match Report
2021-11-06,16:15 (22:15),Matchweek 13,Sat,Away,D,3,3,Celta Vigo,20,17,1,2,0,0,0,6,5,0,1,0,0,0,Match Report
2021-11-20,21:00 (03:00),Matchweek 14,Sat,Home,W,1,0,Espanyol,29,26,0,1,1,1,0,2,1,0,0,0,1,0,Match Report
2021-11-27,21:00 (03:00),Matchweek 15,Sat,Away,W,3,1,Villarreal,16,8,1,2,2,2,1,4,1,0,1,1,1,0,Match Report
2021-12-04,16:15 (22:15),Matchweek 16,Sat,Home,L,0,1,Betis,21,16,2,3,0,0,0,0,0,0,0,0,0,0,Match Report
2021-12-12,16:15 (22:15),Matchweek 17,Sun,Away,D,2,2,Osasuna,15,14,0,0,1,0,0,2,1,0,0,1,0,0,Match Report
2021-12-18,18:30 (00:30),Matchweek 18,Sat,Home,W,3,2,Elche,23,17,1,2,1,1,1,5,3,1,1,0,0,0,Match Report
2021-12-21,21:30 (03:30),Matchweek 4,Tue,Away,D,1,1,Sevilla,32,23,4,0,2,1,2,1,0,1,0,0,0,0,Match Report
2022-01-02,21:00 (03:00),Matchweek 19,Sun,Away,W,1,0,Mallorca,24,20,1,1,0,2,0,2,2,0,0,0,0,0,Match Report
2022-01-08,18:30 (00:30),Matchweek 20,Sat,Away,D,1,1,Granada,23,16,2,3,1,1,0,2,2,0,0,0,0,0,Match Report
2022-01-23,21:00 (03:00),Matchweek 22,Sun,Away,W,1,0,Alavés,16,8,6,0,0,2,0,2,2,0,0,0,0,0,Match Report
2022-02-06,16:15 (22:15),Matchweek 23,Sun,Home,W,4,2,Atlético Madrid,14,8,2,0,2,1,1,4,3,0,0,1,0,0,Match Report
2022-02-13,21:00 (03:00),Matchweek 24,Sun,Away,D,2,2,Espanyol,21,18,1,1,0,1,0,4,4,0,0,0,0,0,Match Report
2022-02-20,16:15 (22:15),Matchweek 25,Sun,Away,W,4,1,Valencia,11,10,0,0,1,0,0,7,6,0,0,1,0,0,Match Report
2022-02-27,21:00 (03:00),Matchweek 26,Sun,Home,W,4,0,Athletic Club,27,22,2,1,1,1,0,7,6,0,0,1,0,0,Match Report
2022-03-06,16:15 (22:15),Matchweek 27,Sun,Away,W,2,1,Elche,28,24,1,0,2,0,1,1,0,0,0,1,0,0,Match Report
2022-03-13,21:00 (03:00),Matchweek 28,Sun,Home,W,4,0,Osasuna,38,30,1,3,2,1,1,8,5,0,1,1,1,0,Match Report
2022-03-20,21:00 (03:00),Matchweek 29,Sun,Away,W,4,0,Real Madrid,29,22,3,2,1,1,0,6,4,2,0,0,0,0,Match Report