Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Match Report
2021-08-15,20:00 (01:00),Matchweek 1,Sun,Home,W,4,2,Real Sociedad,14,10,5,8,1,4,22,18.2,18,149,44,29.5,49,64,36,24,3,0,21,15,,12,0,Match Report
2021-08-21,22:00 (03:00),Matchweek 2,Sat,Away,D,1,1,Athletic Club,13,6,7,6,0,4,8,50.0,4,98,34,34.7,46,38,14,17,6,1,11,18,,34,0,Match Report
2021-08-29,17:00 (22:00),Matchweek 3,Sun,Home,W,2,1,Getafe,22,17,8,14,0,11,19,57.9,8,181,72,39.8,43,94,44,11,0,0,11,15,,9,0,Match Report
2021-09-20,21:00 (02:00),Matchweek 5,Mon,Home,D,1,1,Granada,20,18,7,6,7,3,6,50.0,3,94,47,50.0,28,42,24,8,1,0,7,5,,19,0,Match Report
2021-09-23,22:00 (03:00),Matchweek 6,Thu,Away,D,0,0,Cádiz,22,13,15,5,2,13,23,56.5,10,112,37,33.0,45,48,19,24,5,0,19,3,,37,0,Match Report
2021-09-26,16:15 (21:15),Matchweek 7,Sun,Home,W,3,0,Levante,13,13,5,6,2,9,15,60.0,6,115,53,46.1,26,59,30,13,0,0,13,7,,9,0,Match Report
2021-10-02,21:00 (02:00),Matchweek 8,Sat,Away,L,0,2,Atlético Madrid,13,10,6,2,5,3,6,50.0,3,91,21,23.1,22,36,33,9,0,0,9,8,,13,1,Match Report
2021-10-17,21:00 (02:00),Matchweek 9,Sun,Home,W,3,1,Valencia,15,7,7,7,1,3,13,23.1,10,145,43,29.7,34,79,32,15,4,0,11,9,,9,1,Match Report
2021-10-24,16:15 (21:15),Matchweek 10,Sun,Home,L,1,2,Real Madrid,22,9,7,7,8,8,18,44.4,10,147,35,23.8,37,46,64,10,2,0,8,17,,8,0,Match Report
2021-10-27,19:00 (00:00),Matchweek 11,Wed,Away,L,0,1,Rayo Vallecano,13,6,3,8,2,5,19,26.3,14,132,36,27.3,34,74,24,13,4,0,9,10,,9,0,Match Report
2021-10-30,21:00 (02:00),Matchweek 12,Sat,Home,D,1,1,Alavés,12,10,4,5,3,7,13,53.8,6,131,57,43.5,28,69,34,8,0,0,8,2,,7,0,Match Report
2021-11-06,16:15 (22:15),Matchweek 13,Sat,Away,D,3,3,Celta Vigo,12,6,6,5,1,2,8,25.0,6,148,30,20.3,46,78,24,14,1,0,13,23,,22,1,Match Report
2021-11-20,21:00 (03:00),Matchweek 14,Sat,Home,W,1,0,Espanyol,19,11,7,10,2,7,18,38.9,11,143,46,32.2,42,63,38,9,1,0,8,9,,11,2,Match Report
2021-11-27,21:00 (03:00),Matchweek 15,Sat,Away,W,3,1,Villarreal,18,11,9,8,1,7,12,58.3,5,122,36,29.5,43,55,24,15,4,0,11,19,,11,1,Match Report
2021-12-04,16:15 (22:15),Matchweek 16,Sat,Home,L,0,1,Betis,12,9,7,4,1,4,12,33.3,8,139,36,25.9,43,67,29,17,2,0,15,9,,6,0,Match Report
2021-12-12,16:15 (22:15),Matchweek 17,Sun,Away,D,2,2,Osasuna,18,15,10,8,0,9,15,60.0,6,125,58,46.4,49,64,12,21,6,0,15,6,,16,0,Match Report
2021-12-18,18:30 (00:30),Matchweek 18,Sat,Home,W,3,2,Elche,14,8,6,6,2,4,12,33.3,8,106,45,42.5,20,49,37,13,0,0,13,14,,7,1,Match Report
2021-12-21,21:30 (03:30),Matchweek 4,Tue,Away,D,1,1,Sevilla,17,12,7,7,3,6,11,54.5,5,108,33,30.6,29,44,35,9,2,0,7,12,,3,0,Match Report
2022-01-02,21:00 (03:00),Matchweek 19,Sun,Away,W,1,0,Mallorca,17,10,7,5,5,3,12,25.0,9,160,54,33.8,43,76,41,14,6,0,8,11,,13,0,Match Report
2022-01-08,18:30 (00:30),Matchweek 20,Sat,Away,D,1,1,Granada,18,15,9,7,2,5,14,35.7,9,147,54,36.7,41,80,26,19,5,0,14,13,,16,1,Match Report
2022-01-23,21:00 (03:00),Matchweek 22,Sun,Away,W,1,0,Alavés,18,13,4,11,3,11,12,91.7,1,95,40,42.1,23,55,17,10,1,0,9,7,,15,0,Match Report
2022-02-06,16:15 (22:15),Matchweek 23,Sun,Home,W,4,2,Atlético Madrid,13,11,8,4,1,8,17,47.1,9,151,41,27.2,45,66,40,18,1,0,17,15,,14,0,Match Report
2022-02-13,21:00 (03:00),Matchweek 24,Sun,Away,D,2,2,Espanyol,15,9,4,9,2,3,9,33.3,6,125,37,29.6,39,61,25,17,3,0,14,12,,8,0,Match Report
2022-02-20,16:15 (22:15),Matchweek 25,Sun,Away,W,4,1,Valencia,14,9,6,5,3,5,9,55.6,4,179,57,31.8,63,78,38,14,3,0,11,13,,29,0,Match Report
2022-02-27,21:00 (03:00),Matchweek 26,Sun,Home,W,4,0,Athletic Club,14,8,4,10,0,6,7,85.7,1,100,40,40.0,24,46,30,9,2,0,7,17,,6,0,Match Report
2022-03-06,16:15 (22:15),Matchweek 27,Sun,Away,W,2,1,Elche,18,10,8,4,6,13,21,61.9,8,176,57,32.4,52,72,52,17,5,0,12,13,,16,1,Match Report
2022-03-13,21:00 (03:00),Matchweek 28,Sun,Home,W,4,0,Osasuna,17,14,3,9,5,0,5,0.0,5,163,54,33.1,28,77,58,8,1,0,7,14,,5,1,Match Report
2022-03-20,21:00 (03:00),Matchweek 29,Sun,Away,W,4,0,Real Madrid,17,15,9,5,3,7,14,50.0,7,214,52,24.3,59,85,70,13,5,0,8,9,,8,0,Match Report